,DE
Price/Earnings (TTM),13.57094
Price/Sales (TTM),1.09583
Price/Book (MRQ),3.57095
Price/Cash Flow (TTM),8.12797
5yr Low,70.16
5yr High,181.99
5yr Avg Return,0.10631666666666666
EPS Growth 5yr,0.0285425
Revenue Growth 5yr,0.0172197
Dividend Growth 5yr,0.0687481
Short Int Current Month,4512931.0
Short Int Prev Month,3545384.0
Short Int Pct of Float,0.014429
Days to Cover,2.50074
Float,313.3852
Shares Outstanding,313.62
Institutions Holding Shares,1577.0
% Held by Institutions,0.7884180000000001
FCF Growth 5yr,-0.1394205793731591
