,DE
Next Earnings Announcement,2020-05-22 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.5989690721649484
Growth 1yr High Est,-0.18128654970760227
Growth 1yr Consensus Est,-0.39012781093627535
Growth 2yr Low Est,-0.09125831500278275
Growth 2yr High Est,0.07245196324143693
Growth 2yr Consensus Est,-0.00940317588067291
Growth 5yr Low Est,0.12485657350876492
Growth 5yr High Est,0.15723242011614377
Growth 5yr Consensus Est,0.14104449681245435
Growth 5yr Actual/Est,0.11170496990436551
Growth 3yr Historic,0.11606539317531073
