,DE
% Above Low,0.2907
% Held by Institutions,0.7884
52-Wk Range,['106.14 - 181.99']
Annual Dividend $,3.04
Annual Dividend %,0.022400000000000003
Ask,138.49
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.9
Bid,137.03
Bid Size,500.0
Closing Price,137.0
Day Change $,1.0
Day Change %,0.0074
Day High,138.95
Day Low,136.72
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",10.02
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.439
Last (size),150.0
Last (time),6:30p ET 05/08/20
Market Cap,43.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.57
Prev Close,136.0
Shares Outstanding,313.6M
Short Interest,0.0144
Today's Open,138.0
Volume,1729777.0
Volume 10-day Avg,1576268.0
Volume Past Day,(Average)
