,CPRI
Price/Earnings (TTM),6.14922
Price/Sales (TTM),0.36747
Price/Book (MRQ),0.80132
Price/Cash Flow (TTM),3.49732
5yr Low,5.42
5yr High,75.96
5yr Avg Return,-0.13375
EPS Growth 5yr,0.021712799999999997
Revenue Growth 5yr,0.0960879
Dividend Growth 5yr,
Short Int Current Month,17152342.0
Short Int Prev Month,14573049.0
Short Int Pct of Float,0.12136659999999999
Days to Cover,2.97158
Float,141.3345
Shares Outstanding,149.3654
Institutions Holding Shares,537.0
% Held by Institutions,0.928925
FCF Growth 5yr,0.09225728674882591
