,CPRI
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.3285714285714286
Growth 1yr High Est,-0.10495049504950504
Growth 1yr Consensus Est,-0.21676096181046683
Growth 2yr Low Est,-0.8193009118541035
Growth 2yr High Est,0.019427407342504144
Growth 2yr Consensus Est,-0.39993675225579967
Growth 5yr Low Est,-0.36364468697151897
Growth 5yr High Est,0.05865386291740465
Growth 5yr Consensus Est,-0.15249541202705713
Growth 5yr Actual/Est,-0.07789480611116745
Growth 3yr Historic,0.04139881449323757
