,NVR
% Below High,0.23370000000000002
% Held by Institutions,0.8706
52-Wk Range,"['2,043.01 - 4,071.13']"
Annual Dividend $,
Annual Dividend %,
Ask,3225.0
Ask Size,10.0
B/A Ratio,1.0
B/A Size,10x10
Beta,1.0
Bid,3112.34
Bid Size,10.0
Closing Price,3119.67
Day Change $,119.67
Day Change %,0.039900000000000005
Day High,3144.83
Day Low,3015.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",218.69
Ex-dividend Date,No dividend
Historical Volatility,0.554
Last (size),305.0
Last (time),6:30p ET 05/08/20
Market Cap,11.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",13.72
Prev Close,3000.0
Shares Outstanding,3.7M
Short Interest,0.013600000000000001
Today's Open,3030.0
Volume,27329.0
Volume 10-day Avg,33181.0
Volume Past Day,(Below Average)
