,PH
% Below High,0.2544
% Held by Institutions,0.815
52-Wk Range,['93.00 - 215.94']
Annual Dividend $,3.52
Annual Dividend %,0.0226
Ask,170.03
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,158.36
Bid Size,100.0
Closing Price,161.0
Day Change $,5.01
Day Change %,0.0321
Day High,162.63
Day Low,157.64
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",10.19
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.5670000000000001
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,20.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.8
Prev Close,155.99
Shares Outstanding,128.4M
Short Interest,0.02
Today's Open,158.79
Volume,1488958.0
Volume 10-day Avg,1540333.0
Volume Past Day,(Average)
