,PH
Price/Earnings (TTM),15.79537
Price/Sales (TTM),1.45206
Price/Book (MRQ),3.27875
Price/Cash Flow (TTM),11.33556
5yr Low,83.32
5yr High,215.94
5yr Avg Return,0.0992
EPS Growth 5yr,0.11005530000000001
Revenue Growth 5yr,0.0161803
Dividend Growth 5yr,0.1118209
Short Int Current Month,2553536.0
Short Int Prev Month,1809720.0
Short Int Pct of Float,0.0199894
Days to Cover,1.98641
Float,127.6173
Shares Outstanding,128.2174
Institutions Holding Shares,973.0
% Held by Institutions,0.815033
FCF Growth 5yr,0.06528952864731434
