,KEY
% Above Low,0.5141
% Held by Institutions,0.8089
52-Wk Range,['7.45 - 20.53']
Annual Dividend $,0.74
Annual Dividend %,0.0688
Ask,11.42
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.5
Bid,11.12
Bid Size,100.0
Closing Price,11.28
Day Change $,0.52
Day Change %,0.0483
Day High,11.31
Day Low,10.92
Dividend Pay Date,2020-03-13 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2020-03-02 00:00:00
Ex-dividend Date,03/02/20
Historical Volatility,0.652
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,11.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.97
Prev Close,10.76
Shares Outstanding,975.4M
Short Interest,0.0166
Today's Open,11.07
Volume,9225885.0
Volume 10-day Avg,10993156.0
Volume Past Day,(Below Average)
