,KEY
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-2.042944785276074
Growth 1yr High Est,-0.13068181818181812
Growth 1yr Consensus Est,-1.086813301728946
Growth 2yr Low Est,-1.7067665102850957
Growth 2yr High Est,0.10459373143196671
Growth 2yr Consensus Est,-0.8010863894265645
Growth 5yr Low Est,-0.7790317034982681
Growth 5yr High Est,0.1258262774806892
Growth 5yr Consensus Est,-0.3266027130087895
Growth 5yr Actual/Est,0.1958521094566353
Growth 3yr Historic,0.07691271551724138
