,BRK.B
5yr Low,123.55
5yr High,231.61
5yr Avg Return,0.04571666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0551262
Dividend Growth 5yr,
FCF Growth 5yr,0.13416061478863087
