,BRK.B
% Above Low,0.10869999999999999
% Held by Institutions,
52-Wk Range,['159.50 - 231.61']
Annual Dividend $,
Annual Dividend %,
Ask,177.7
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,177.3
Bid Size,400.0
Change Since Close,0.67| |(0.38%)
Closing Price,176.83
Day Change $,3.35
Day Change %,0.019299999999999998
Day High,177.26
Day Low,174.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),4.0
Last (time),6:30p ET 05/08/20
Last Trade,177.5
Market Cap,429.7B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,173.48
Shares Outstanding,2.4B
Short Interest,
Today's Open,176.71
Volume,5798965.0
Volume 10-day Avg,7443218.0
Volume Past Day,(Light)
