,HIG
Price/Earnings (TTM),7.45041
Price/Sales (TTM),0.6022
Price/Book (MRQ),0.83683
Price/Cash Flow (TTM),5.72363
5yr Low,19.04
5yr High,62.75
5yr Avg Return,0.01716666666666666
EPS Growth 5yr,0.14049699999999998
Revenue Growth 5yr,0.0212235
Dividend Growth 5yr,0.1270092
Short Int Current Month,4921984.0
Short Int Prev Month,3732651.0
Short Int Pct of Float,0.0138131
Days to Cover,1.27626
Float,356.5231
Shares Outstanding,358.075
Institutions Holding Shares,933.0
% Held by Institutions,0.926849
FCF Growth 5yr,0.11921256684896135
