,HIG
% Above Low,0.9091
% Held by Institutions,0.9268000000000001
52-Wk Range,['19.04 - 62.75']
Annual Dividend $,1.3
Annual Dividend %,0.037200000000000004
Ask,37.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,32.0
Bid Size,200.0
Closing Price,36.35
Day Change $,1.44
Day Change %,0.0412
Day High,36.46
Day Low,35.22
Dividend Pay Date,2020-04-02 00:00:00
"EPS (TTM, GAAP)",4.69
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.568
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.45
Prev Close,34.91
Shares Outstanding,358.1M
Short Interest,0.0138
Today's Open,35.71
Volume,2099921.0
Volume 10-day Avg,3170198.0
Volume Past Day,(Light)
