,STT
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.1631944444444443
Growth 1yr High Est,0.0235294117647058
Growth 1yr Consensus Est,-0.06983251633986925
Growth 2yr Low Est,-0.10441879898570772
Growth 2yr High Est,0.042963392253453025
Growth 2yr Consensus Est,-0.030727703366127346
Growth 5yr Low Est,-0.0534766630598886
Growth 5yr High Est,0.015253354384892975
Growth 5yr Consensus Est,-0.019111654337497813
Growth 5yr Actual/Est,-0.022838288069960883
Growth 3yr Historic,-0.0052046927451437075
