,STT
Price/Earnings (TTM),10.37233
Price/Sales (TTM),1.78272
Price/Book (MRQ),0.99084
Price/Cash Flow (TTM),6.05047
5yr Low,42.1
5yr High,114.27
5yr Avg Return,-0.007166666666666674
EPS Growth 5yr,0.0347489
Revenue Growth 5yr,0.08198420000000001
Dividend Growth 5yr,0.114982
Short Int Current Month,3565683.0
Short Int Prev Month,3132986.0
Short Int Pct of Float,0.0101869
Days to Cover,1.38362
Float,350.3206
Shares Outstanding,351.9564
Institutions Holding Shares,1064.0
% Held by Institutions,0.935027
FCF Growth 5yr,0.19967880816097536
