,STT
% Above Low,0.4304
% Held by Institutions,0.935
52-Wk Range,['42.10 - 85.89']
Annual Dividend $,2.08
Annual Dividend %,0.035699999999999996
Ask,75.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,58.4
Bid Size,100.0
Closing Price,60.22
Day Change $,1.98
Day Change %,0.034
Day High,60.32
Day Low,58.78
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",5.81
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.526
Last (size),6700.0
Last (time),6:30p ET 05/08/20
Market Cap,21.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.37
Prev Close,58.24
Shares Outstanding,352.0M
Short Interest,0.0102
Today's Open,59.73
Volume,1521281.0
Volume 10-day Avg,2248773.0
Volume Past Day,(Light)
