,MCK
Price/Earnings (TTM),
Price/Sales (TTM),0.09662
Price/Book (MRQ),3.85822
Price/Cash Flow (TTM),135.0012
5yr Low,106.11
5yr High,243.61
5yr Avg Return,-0.060233333333333326
EPS Growth 5yr,
Revenue Growth 5yr,0.0929992
Dividend Growth 5yr,0.1065576
Short Int Current Month,3153408.0
Short Int Prev Month,3449533.0
Short Int Pct of Float,0.0195912
Days to Cover,1.60223
Float,142.2879
Shares Outstanding,161.5039
Institutions Holding Shares,1164.0
% Held by Institutions,1.017714
FCF Growth 5yr,0.07747658679209388
