,MCK
% Above Low,0.20750000000000002
% Held by Institutions,1.0177
52-Wk Range,['112.60 - 172.18']
Annual Dividend $,1.64
Annual Dividend %,0.012199999999999999
Ask,142.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,133.51
Bid Size,100.0
Closing Price,135.97
Day Change $,1.39
Day Change %,0.0103
Day High,137.42
Day Low,134.47
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",-5.24
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.44200000000000006
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,22.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,134.58
Shares Outstanding,161.5M
Short Interest,0.0196
Today's Open,136.47
Volume,943099.0
Volume 10-day Avg,1529731.0
Volume Past Day,(Light)
