,MCK
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.08401486988847595
Growth 1yr High Est,0.09558823529411775
Growth 1yr Consensus Est,0.08980155259129685
Growth 2yr Low Est,-0.01629160483628328
Growth 2yr High Est,0.1383981444926965
Growth 2yr Consensus Est,0.06105326982820661
Growth 5yr Low Est,0.012971632170286074
Growth 5yr High Est,0.08778849912381859
Growth 5yr Consensus Est,0.05038006564705233
Growth 5yr Actual/Est,0.054200900208880354
Growth 3yr Historic,0.020414230721595816
