,RCL
Price/Earnings (TTM),4.46176
Price/Sales (TTM),0.76232
Price/Book (MRQ),0.68525
Price/Cash Flow (TTM),2.64716
5yr Low,19.25
5yr High,135.65
5yr Avg Return,0.025366666666666666
EPS Growth 5yr,0.2117359
Revenue Growth 5yr,0.0628498
Dividend Growth 5yr,0.2189329
Short Int Current Month,27961437.0
Short Int Prev Month,22451563.0
Short Int Pct of Float,0.1641856
Days to Cover,0.91298
Float,170.539
Shares Outstanding,209.1166
Institutions Holding Shares,900.0
% Held by Institutions,0.7461629999999999
FCF Growth 5yr,18.530265861498943
