,RCL
% Above Low,1.0738
% Held by Institutions,0.7462000000000001
52-Wk Range,['19.25 - 135.32']
Annual Dividend $,3.12
Annual Dividend %,0.08199999999999999
Ask,39.75
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,2.5
Bid,39.51
Bid Size,500.0
Closing Price,39.92
Day Change $,1.89
Day Change %,0.049699999999999994
Day High,41.39
Day Low,38.55
Dividend Pay Date,2020-04-06 00:00:00
"EPS (TTM, GAAP)",8.95
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.9400000000000001
Last (size),6.0
Last (time),6:30p ET 05/08/20
Market Cap,8.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.46
Prev Close,38.03
Shares Outstanding,209.1M
Short Interest,0.1642
Today's Open,40.3
Volume,15961923.0
Volume 10-day Avg,20080128.0
Volume Past Day,(Light)
