,NLSN
Price/Earnings (TTM),
Price/Sales (TTM),0.75094
Price/Book (MRQ),2.38581
Price/Cash Flow (TTM),14.86764
5yr Low,11.62
5yr High,55.94
5yr Avg Return,-0.16106666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0065919
Dividend Growth 5yr,0.031620300000000004
Short Int Current Month,23967083.0
Short Int Prev Month,23826989.0
Short Int Pct of Float,0.0680944
Days to Cover,5.87776
Float,351.7097
Shares Outstanding,356.4756
Institutions Holding Shares,550.0
% Held by Institutions,1.0164279999999999
FCF Growth 5yr,-0.05984743042452978
