,NLSN
% Above Low,0.2177
% Held by Institutions,1.0164
52-Wk Range,['11.62 - 24.72']
Annual Dividend $,0.24
Annual Dividend %,0.0175
Ask,15.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,13.8
Bid Size,200.0
Closing Price,14.15
Day Change $,0.47
Day Change %,0.0344
Day High,14.23
Day Low,13.87
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",-1.34
Ex-dividend,2020-06-03 00:00:00
Ex-dividend Date,06/03/20
Historical Volatility,0.49200000000000005
Last (size),800.0
Last (time),6:30p ET 05/08/20
Market Cap,5.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.68
Shares Outstanding,356.5M
Short Interest,0.0681
Today's Open,13.91
Volume,2243830.0
Volume 10-day Avg,4832675.0
Volume Past Day,(Light)
