,NLSN
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.2178770949720671
Growth 1yr High Est,-0.14438502673796794
Growth 1yr Consensus Est,-0.1811310608550175
Growth 2yr Low Est,-0.09108140462889064
Growth 2yr High Est,0.04968248663101599
Growth 2yr Consensus Est,-0.020699458998937326
Growth 5yr Low Est,-0.09108140462889064
Growth 5yr High Est,0.04968248663101599
Growth 5yr Consensus Est,-0.020699458998937326
Growth 5yr Actual/Est,0.10635584354846656
Growth 3yr Historic,0.12715163934426232
