,AON
Price/Earnings (TTM),26.5944
Price/Sales (TTM),3.85169
Price/Book (MRQ),13.47775
Price/Cash Flow (TTM),18.94074
5yr Low,83.83
5yr High,238.19
5yr Avg Return,0.13185000000000002
EPS Growth 5yr,0.0644333
Revenue Growth 5yr,-0.0177551
Dividend Growth 5yr,0.1320806
Short Int Current Month,8957010.0
Short Int Prev Month,7949801.0
Short Int Pct of Float,0.0391477
Days to Cover,6.20762
Float,228.8867
Shares Outstanding,231.0846
Institutions Holding Shares,1083.0
% Held by Institutions,0.922462
FCF Growth 5yr,0.2382421115072281
