,LB
Price/Earnings (TTM),
Price/Sales (TTM),0.23938
Price/Book (MRQ),
Price/Cash Flow (TTM),13.92632
5yr Low,8.0
5yr High,101.11
5yr Avg Return,-0.25156666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0242848
Dividend Growth 5yr,
Short Int Current Month,23508537.0
Short Int Prev Month,19633809.0
Short Int Pct of Float,0.1031381
Days to Cover,2.47445
Float,227.9319
Shares Outstanding,276.5333
Institutions Holding Shares,574.0
% Held by Institutions,0.811599
FCF Growth 5yr,-0.10539053395901415
