,LB
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-1.8216216216216217
Growth 1yr High Est,-0.14583333333333337
Growth 1yr Consensus Est,-0.9837274774774776
Growth 2yr Low Est,-1.7200213371266002
Growth 2yr High Est,0.05635162601626026
Growth 2yr Consensus Est,-0.83183485555517
Growth 5yr Low Est,-0.9751196837519331
Growth 5yr High Est,-0.03671828343170763
Growth 5yr Consensus Est,-0.5059189835918204
Growth 5yr Actual/Est,0.05496450853862622
Growth 3yr Historic,-0.07667331560283691
