,HOG
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.9227799227799227
Growth 1yr High Est,-0.45993031358885017
Growth 1yr Consensus Est,-0.6913551181843864
Growth 2yr Low Est,2.9136100386100385
Growth 2yr High Est,0.1410025851410588
Growth 2yr Consensus Est,1.5273063118755488
Growth 5yr Low Est,1.4129732701783642
Growth 5yr High Est,0.03614247288521294
Growth 5yr Consensus Est,0.7245578715317885
Growth 5yr Actual/Est,0.07508018764278415
Growth 3yr Historic,-0.04724111866969011
