,HOG
Price/Earnings (TTM),8.81365
Price/Sales (TTM),0.59331
Price/Book (MRQ),1.84896
Price/Cash Flow (TTM),5.38762
5yr Low,14.31
5yr High,63.4
5yr Avg Return,-0.1146
EPS Growth 5yr,-0.0709963
Revenue Growth 5yr,-0.0295232
Dividend Growth 5yr,0.0639953
Short Int Current Month,21272364.0
Short Int Prev Month,17863817.0
Short Int Pct of Float,0.1394449
Days to Cover,6.2731
Float,151.0255
Shares Outstanding,153.1353
Institutions Holding Shares,650.0
% Held by Institutions,0.9817629999999999
FCF Growth 5yr,-0.020536044853387114
