,UHS
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.5740932642487047
Growth 1yr High Est,-0.07482305358948438
Growth 1yr Consensus Est,-0.3244581589190945
Growth 2yr Low Est,0.2713475284595892
Growth 2yr High Est,0.12761579560962938
Growth 2yr Consensus Est,0.1994816620346093
Growth 5yr Low Est,0.2163182021387719
Growth 5yr High Est,0.1408366845978916
Growth 5yr Consensus Est,0.17857744336833176
Growth 5yr Actual/Est,0.13082707688493928
Growth 3yr Historic,0.07846821876537219
