,NCLH
% Above Low,0.7681
% Held by Institutions,0.8937999999999999
52-Wk Range,['7.03 - 59.78']
Annual Dividend $,
Annual Dividend %,
Ask,12.45
Ask Size,700.0
B/A Ratio,7.142857142857143
B/A Size,5000x700
Beta,2.8
Bid,12.4
Bid Size,5000.0
Closing Price,12.43
Day Change $,0.43
Day Change %,0.0358
Day High,13.13
Day Low,12.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.3
Ex-dividend Date,No dividend
Historical Volatility,1.091
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,2.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",2.79
Prev Close,12.0
Shares Outstanding,214.5M
Short Interest,0.12269999999999999
Today's Open,12.83
Volume,77120964.0
Volume 10-day Avg,66838564.0
Volume Past Day,(Above Average)
