,EXPE
% Above Low,0.6995
% Held by Institutions,1.0362
52-Wk Range,['40.76 - 144.00']
Annual Dividend $,1.36
Annual Dividend %,0.020499999999999997
Ask,70.0
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,1.5
Bid,69.5
Bid Size,100.0
Closing Price,69.27
Day Change $,2.81
Day Change %,0.042300000000000004
Day High,69.49
Day Low,66.05
Dividend Pay Date,2020-03-26 00:00:00
"EPS (TTM, GAAP)",3.74
Ex-dividend,2020-03-09 00:00:00
Ex-dividend Date,03/09/20
Historical Volatility,0.648
Last (size),25.0
Last (time),4:00p ET 05/08/20
Market Cap,9.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.75
Prev Close,66.46
Shares Outstanding,141.0M
Short Interest,0.09179999999999999
Today's Open,66.57
Volume,2760681.0
Volume 10-day Avg,3774568.0
Volume Past Day,(Light)
