,EXPE
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-2.4594095940959413
Growth 1yr High Est,0.22539682539682548
Growth 1yr Consensus Est,-1.117006384349558
Growth 2yr Low Est,-1.7050524582363398
Growth 2yr High Est,0.19106628834608108
Growth 2yr Consensus Est,-0.7569930849451294
Growth 5yr Low Est,-1.135467070922992
Growth 5yr High Est,0.15058069477741007
Growth 5yr Consensus Est,-0.492443188072791
Growth 5yr Actual/Est,-2.7774879307296754
Growth 3yr Historic,0.1025473507552146
