,NWSA
% Above Low,0.3835
% Held by Institutions,0.9968
52-Wk Range,['7.90 - 15.07']
Annual Dividend $,0.2
Annual Dividend %,0.0207
Ask,11.66
Ask Size,200.0
B/A Ratio,69.5
B/A Size,13900x200
Beta,1.4
Bid,10.93
Bid Size,13900.0
Closing Price,10.93
Day Change $,1.28
Day Change %,0.1326
Day High,11.06
Day Low,10.21
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",-1.57
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.454
Last (size),100.0
Last (time),3:59p ET 05/08/20
Market Cap,6.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.65
Shares Outstanding,588.3M
Short Interest,0.029900000000000003
Today's Open,10.61
Volume,3163645.0
Volume 10-day Avg,2792463.0
Volume Past Day,(Above Average)
