,NWSA
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.926829268292683
Growth 1yr High Est,-0.6086956521739131
Growth 1yr Consensus Est,-0.767762460233298
Growth 2yr Low Est,-3.1300813008130084
Growth 2yr High Est,0.19565217391304346
Growth 2yr Consensus Est,-1.4672145634499825
Growth 5yr Low Est,-1.4843954891161817
Growth 5yr High Est,0.12831389183457054
Growth 5yr Consensus Est,-0.6780407986408056
Growth 5yr Actual/Est,-0.03550555724468768
Growth 3yr Historic,0.06691919191919193
