,NWSA
Price/Earnings (TTM),
Price/Sales (TTM),0.60022
Price/Book (MRQ),0.72482
Price/Cash Flow (TTM),
5yr Low,7.9
5yr High,17.29
5yr Avg Return,-0.0184
EPS Growth 5yr,-0.1660925
Revenue Growth 5yr,0.0349033
Dividend Growth 5yr,
Short Int Current Month,11543393.0
Short Int Prev Month,10751912.0
Short Int Pct of Float,0.0298779
Days to Cover,3.37891
Float,507.1989
Shares Outstanding,588.2662
Institutions Holding Shares,505.0
% Held by Institutions,0.9967900000000001
FCF Growth 5yr,0.06673641510515797
