,ED
% Above Low,0.1959
% Held by Institutions,0.626
52-Wk Range,['62.03 - 95.10']
Annual Dividend $,3.06
Annual Dividend %,0.041299999999999996
Ask,74.6
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.3
Bid,74.18
Bid Size,100.0
Closing Price,74.18
Day Change $,0.11
Day Change %,0.0015
Day High,74.94
Day Low,72.88
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",4.08
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.381
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,24.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.16
Prev Close,74.07
Shares Outstanding,334.0M
Short Interest,0.014499999999999999
Today's Open,74.9
Volume,2325494.0
Volume 10-day Avg,2019266.0
Volume Past Day,(Above Average)
