,ED
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.06103286384976525
Growth 1yr High Est,0.02277904328018243
Growth 1yr Consensus Est,-0.01912691028479141
Growth 2yr Low Est,-0.011766431924882581
Growth 2yr High Est,0.03366123656214026
Growth 2yr Consensus Est,0.01094740231862884
Growth 5yr Low Est,0.005761530388187386
Growth 5yr High Est,0.03308577953539438
Growth 5yr Consensus Est,0.01942365496179088
Growth 5yr Actual/Est,0.026019260511392334
Growth 3yr Historic,0.015629554474315577
