,ED
Price/Earnings (TTM),18.16336
Price/Sales (TTM),1.96736
Price/Book (MRQ),1.36862
Price/Cash Flow (TTM),7.91857
5yr Low,56.86
5yr High,95.1
5yr Avg Return,0.044366666666666665
EPS Growth 5yr,0.018753
Revenue Growth 5yr,-0.005399
Dividend Growth 5yr,0.0327096
Short Int Current Month,4845991.0
Short Int Prev Month,4194366.0
Short Int Pct of Float,0.014534199999999999
Days to Cover,1.93394
Float,333.4584
Shares Outstanding,333.9761
Institutions Holding Shares,1231.0
% Held by Institutions,0.625985
FCF Growth 5yr,5.050565939208543
