,ALL
Price/Earnings (TTM),8.46088
Price/Sales (TTM),0.72337
Price/Book (MRQ),1.43079
Price/Cash Flow (TTM),6.92429
5yr Low,54.12
5yr High,125.92
5yr Avg Return,0.10375
EPS Growth 5yr,0.1748633
Revenue Growth 5yr,0.0473866
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,3501615.0
Short Int Prev Month,3715917.0
Short Int Pct of Float,0.0111169
Days to Cover,1.5291
Float,312.8066
Shares Outstanding,314.1161
Institutions Holding Shares,1389.0
% Held by Institutions,0.7758700000000001
FCF Growth 5yr,0.07609845957418326
