,ALL
% Below High,0.1996
% Held by Institutions,0.7759
52-Wk Range,['64.13 - 125.92']
Annual Dividend $,2.16
Annual Dividend %,0.021400000000000002
Ask,101.21
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.9
Bid,100.79
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,100.79
Day Change $,-0.06
Day Change %,-0.0006
Day High,102.8
Day Low,100.64
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",11.92
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.399
Last (size),25100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,31.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.46
Prev Close,100.85
Shares Outstanding,314.1M
Short Interest,0.0111
Today's Open,102.6
Volume,2217672.0
Volume 10-day Avg,2131189.0
Volume Past Day,(Average)
