,LYB
Price/Earnings (TTM),6.84556
Price/Sales (TTM),0.53614
Price/Book (MRQ),2.4481
Price/Cash Flow (TTM),4.41409
5yr Low,33.71
5yr High,121.95
5yr Avg Return,-0.06723333333333333
EPS Growth 5yr,0.0376989
Revenue Growth 5yr,-0.0530539
Dividend Growth 5yr,0.08977510000000001
Short Int Current Month,5654222.0
Short Int Prev Month,5499448.0
Short Int Pct of Float,0.019173
Days to Cover,2.13653
Float,255.5031
Shares Outstanding,333.7062
Institutions Holding Shares,1109.0
% Held by Institutions,0.6678310000000001
FCF Growth 5yr,-0.11091784932436807
