,LYB
% Above Low,0.6746
% Held by Institutions,0.6678000000000001
52-Wk Range,['33.71 - 98.91']
Annual Dividend $,4.2
Annual Dividend %,0.0782
Ask,59.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,55.4
Bid Size,100.0
Closing Price,56.45
Day Change $,2.72
Day Change %,0.0506
Day High,56.52
Day Low,54.62
Dividend Pay Date,2020-03-09 00:00:00
"EPS (TTM, GAAP)",7.85
Ex-dividend,2020-02-28 00:00:00
Ex-dividend Date,02/28/20
Historical Volatility,0.631
Last (size),42.0
Last (time),6:30p ET 05/08/20
Market Cap,18.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.85
Prev Close,53.73
Shares Outstanding,333.6M
Short Interest,0.0192
Today's Open,54.83
Volume,1918284.0
Volume 10-day Avg,2899749.0
Volume Past Day,(Light)
