,FB
% Below High,0.0529
% Held by Institutions,0.7731999999999999
52-Wk Range,['137.10 - 224.20']
Annual Dividend $,
Annual Dividend %,
Ask,212.35
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,212.27
Bid Size,200.0
Closing Price,212.35
Day Change $,1.09
Day Change %,0.0052
Day High,213.21
Day Low,210.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.95
Ex-dividend Date,No dividend
Historical Volatility,0.39799999999999996
Last (size),22.0
Last (time),4:15p ET 05/08/20
Market Cap,605.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.4
Prev Close,211.26
Shares Outstanding,2.8B
Short Interest,0.0128
Today's Open,212.24
Volume,12524048.0
Volume 10-day Avg,26562853.0
Volume Past Day,(Light)
