,FB
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,42.0
Growth 1yr Low Est,-0.08602150537634412
Growth 1yr High Est,-0.016184971098266
Growth 1yr Consensus Est,-0.05110323823730506
Growth 2yr Low Est,0.2295382669196711
Growth 2yr High Est,0.15054441221819959
Growth 2yr Consensus Est,0.19004133956893535
Growth 5yr Low Est,0.08427254778997513
Growth 5yr High Est,0.1469154228138898
Growth 5yr Consensus Est,0.11559398530193248
Growth 5yr Actual/Est,0.1807181914496855
Growth 3yr Historic,0.06346455959590516
