,FB
Price/Earnings (TTM),30.39992
Price/Sales (TTM),8.2051
Price/Book (MRQ),5.71965
Price/Cash Flow (TTM),22.33815
5yr Low,72.0
5yr High,224.2
5yr Avg Return,0.22316666666666665
EPS Growth 5yr,0.42247219999999996
Revenue Growth 5yr,0.41492939999999995
Dividend Growth 5yr,
Short Int Current Month,30460478.0
Short Int Prev Month,31163443.0
Short Int Pct of Float,0.012752
Days to Cover,1.44079
Float,2387.779
Shares Outstanding,2849.103
Institutions Holding Shares,3392.0
% Held by Institutions,0.7732410000000001
FCF Growth 5yr,0.25089434367492613
