,PGR
Price/Earnings (TTM),12.25303
Price/Sales (TTM),1.11399
Price/Book (MRQ),3.13692
Price/Cash Flow (TTM),11.19758
5yr Low,26.8
5yr High,84.96
5yr Avg Return,0.19606666666666667
EPS Growth 5yr,0.2553971
Revenue Growth 5yr,0.15013590000000002
Dividend Growth 5yr,0.3102647
Short Int Current Month,4587879.0
Short Int Prev Month,4926746.0
Short Int Pct of Float,0.0078633
Days to Cover,1.33284
Float,583.5883
Shares Outstanding,585.2985
Institutions Holding Shares,1196.0
% Held by Institutions,0.799876
FCF Growth 5yr,0.2492285486978667
