,PGR
% Below High,0.1258
% Held by Institutions,0.7998999999999999
52-Wk Range,['62.18 - 84.96']
Annual Dividend $,0.4
Annual Dividend %,0.0053
Ask,76.17
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,73.53
Bid Size,200.0
Closing Price,74.27
Day Change $,-0.66
Day Change %,-0.0088
Day High,75.93
Day Low,73.93
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",6.06
Ex-dividend,2020-04-06 00:00:00
Ex-dividend Date,04/06/20
Historical Volatility,0.355
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,43.5B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",12.25
Prev Close,74.93
Shares Outstanding,585.3M
Short Interest,0.0079
Today's Open,75.75
Volume,4333816.0
Volume 10-day Avg,3510720.0
Volume Past Day,(Heavy Day)
