,PGR,Rating Since
newConstructs,1,2020-05-08
researchTeam,reduce,2020-05-01
marketEdge opinion,neutralfromlong,2020-05-08
marketEdge,-2,2020-05-08
cfra,4,2018-07-17
theStreet,buy,2011-11-08
ford,1,2020-04-17
creditSuisse,outperform,2018-08-07
