,JCI
% Above Low,0.3085
% Held by Institutions,0.9216
52-Wk Range,['22.78 - 44.82']
Annual Dividend $,1.04
Annual Dividend %,0.0365
Ask,34.34
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,29.0
Bid Size,100.0
Closing Price,29.8
Day Change $,1.28
Day Change %,0.0449
Day High,29.89
Day Low,28.97
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",1.42
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.386
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,22.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.06
Prev Close,28.52
Shares Outstanding,743.9M
Short Interest,0.0132
Today's Open,28.99
Volume,4212686.0
Volume 10-day Avg,5353416.0
Volume Past Day,(Light)
