,JCI
Price/Earnings (TTM),20.05654
Price/Sales (TTM),0.89345
Price/Book (MRQ),1.17313
Price/Cash Flow (TTM),9.99291
5yr Low,22.78
5yr High,48.97
5yr Avg Return,-0.02323333333333334
EPS Growth 5yr,-0.069381
Revenue Growth 5yr,0.1832853
Dividend Growth 5yr,0.0787127
Short Int Current Month,10035932.0
Short Int Prev Month,9302851.0
Short Int Pct of Float,0.0131676
Days to Cover,1.65726
Float,736.4237
Shares Outstanding,743.8624
Institutions Holding Shares,1078.0
% Held by Institutions,0.9215760000000001
FCF Growth 5yr,0.422128066007066
