,NEM
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.051724137931034475
Growth 1yr High Est,1.481481481481481
Growth 1yr Consensus Est,0.7666028097062577
Growth 2yr Low Est,0.4602882984737139
Growth 2yr High Est,1.0877556661138748
Growth 2yr Consensus Est,0.7740219822937944
Growth 5yr Low Est,0.1887772427620368
Growth 5yr High Est,0.5438778330569374
Growth 5yr Consensus Est,0.36632753790948713
Growth 5yr Actual/Est,0.2611295231294275
Growth 3yr Historic,-0.024279288489061523
