,NEM
Price/Earnings (TTM),14.6793
Price/Sales (TTM),4.9263
Price/Book (MRQ),2.37444
Price/Cash Flow (TTM),9.04905
5yr Low,15.39
5yr High,65.37
5yr Avg Return,0.2155
EPS Growth 5yr,0.24546500000000002
Revenue Growth 5yr,0.0739094
Dividend Growth 5yr,0.2000549
Short Int Current Month,14548436.0
Short Int Prev Month,12912913.0
Short Int Pct of Float,0.0180862
Days to Cover,1.67568
Float,799.5325
Shares Outstanding,802.5846
Institutions Holding Shares,1191.0
% Held by Institutions,0.8347159999999999
FCF Growth 5yr,0.2892861431027858
