,NEM
% Below High,0.0229
% Held by Institutions,0.8347
52-Wk Range,['29.77 - 66.06']
Annual Dividend $,1.0
Annual Dividend %,0.0155
Ask,66.5
Ask Size,1400.0
B/A Ratio,0.35714285714285715
B/A Size,500x1400
Beta,0.4
Bid,64.35
Bid Size,500.0
Closing Price,64.55
Day Change $,-0.01
Day Change %,-0.0002
Day High,66.06
Day Low,64.07
Dividend Pay Date,2020-06-18 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2020-06-03 00:00:00
Ex-dividend Date,06/03/20
Historical Volatility,0.395
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,51.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.68
Prev Close,64.56
Shares Outstanding,802.6M
Short Interest,0.0181
Today's Open,64.98
Volume,6371269.0
Volume 10-day Avg,6845589.0
Volume Past Day,(Average)
