,DRI
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.9391304347826087
Growth 1yr High Est,-0.4058219178082191
Growth 1yr Consensus Est,-0.6724761762954139
Growth 2yr Low Est,-0.5124223602484472
Growth 2yr High Est,0.1457922111247088
Growth 2yr Consensus Est,-0.1833150745618692
Growth 5yr Low Est,-0.15370586380311776
Growth 5yr High Est,0.17482551256088577
Growth 5yr Consensus Est,0.010559824378884003
Growth 5yr Actual/Est,-0.030757924971954176
Growth 3yr Historic,0.10162415572863337
