,DRI
Price/Earnings (TTM),13.67849
Price/Sales (TTM),1.045
Price/Book (MRQ),3.63988
Price/Cash Flow (TTM),9.26602
5yr Low,26.15
5yr High,128.41
5yr Avg Return,0.045950000000000005
EPS Growth 5yr,0.3303115
Revenue Growth 5yr,0.0624797
Dividend Growth 5yr,
Short Int Current Month,6514364.0
Short Int Prev Month,5872039.0
Short Int Pct of Float,0.0540623
Days to Cover,1.60578
Float,129.4943
Shares Outstanding,129.8793
Institutions Holding Shares,933.0
% Held by Institutions,0.814084
FCF Growth 5yr,0.5547423538758934
