,DRI
% Above Low,1.8574000000000002
% Held by Institutions,0.8140999999999999
52-Wk Range,['26.15 - 128.41']
Annual Dividend $,
Annual Dividend %,
Ask,74.99
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.3
Bid,74.73
Bid Size,400.0
Closing Price,74.72
Day Change $,4.19
Day Change %,0.0594
Day High,74.88
Day Low,71.75
Dividend Pay Date,02/03/20
"EPS (TTM, GAAP)",5.16
Ex-dividend Date,01/09/20
Historical Volatility,0.741
Last (size),24.0
Last (time),6:30p ET 05/08/20
Market Cap,9.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.68
Prev Close,70.53
Shares Outstanding,129.8M
Short Interest,0.0541
Today's Open,72.02
Volume,2996296.0
Volume 10-day Avg,3091215.0
Volume Past Day,(Average)
