,SLG
Price/Earnings (TTM),15.73177
Price/Sales (TTM),3.03789
Price/Book (MRQ),0.73612
Price/Cash Flow (TTM),6.84803
5yr Low,37.5
5yr High,124.68
5yr Avg Return,-0.1176
EPS Growth 5yr,-0.0182686
Revenue Growth 5yr,-0.0400548
Dividend Growth 5yr,0.11196160000000001
Short Int Current Month,4145352.0
Short Int Prev Month,4005736.0
Short Int Pct of Float,0.0538548
Days to Cover,2.43089
Float,76.4739
Shares Outstanding,77.59086
Institutions Holding Shares,552.0
% Held by Institutions,1.060055
FCF Growth 5yr,-0.7075130519313462
