,SLG
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-1.0434782608695652
Growth 1yr High Est,-0.3700305810397554
Growth 1yr Consensus Est,-0.7067544209546603
Growth 2yr Low Est,0.06916996047430823
Growth 2yr High Est,-0.19715121284997483
Growth 2yr Consensus Est,-0.0639906261878333
Growth 5yr Low Est,0.06916996047430823
Growth 5yr High Est,-0.19715121284997483
Growth 5yr Consensus Est,-0.06399062618783335
Growth 5yr Actual/Est,0.36355261982062764
Growth 3yr Historic,0.5497212291453865
