,SLG
% Above Low,0.2936
% Held by Institutions,1.0601
52-Wk Range,['37.50 - 96.39']
Annual Dividend $,3.54
Annual Dividend %,0.0757
Ask,55.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.7
Bid,42.36
Bid Size,1000.0
Closing Price,48.51
Day Change $,1.77
Day Change %,0.0379
Day High,49.62
Day Low,47.24
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",3.08
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.546
Last (size),13800.0
Last (time),6:30p ET 05/08/20
Market Cap,3.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.73
Prev Close,46.74
Shares Outstanding,77.6M
Short Interest,0.053899999999999997
Today's Open,47.78
Volume,810005.0
Volume 10-day Avg,1401759.0
Volume Past Day,(Light)
