,MRO
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-3.9444444444444446
Growth 1yr High Est,-1.8235294117647058
Growth 1yr Consensus Est,-2.883986928104575
Growth 2yr Low Est,-1.9533542976939204
Growth 2yr High Est,-1.461764705882353
Growth 2yr Consensus Est,-1.7075595017881366
Growth 5yr Low Est,-1.2605695317959469
Growth 5yr High Est,-0.9858734402852051
Growth 5yr Consensus Est,-1.123221486040576
Growth 5yr Actual/Est,-1.75456797522725
Growth 3yr Historic,-0.9459154929577465
