,MRO
% Above Low,0.9139
% Held by Institutions,0.8547
52-Wk Range,['3.02 - 16.02']
Annual Dividend $,
Annual Dividend %,
Ask,5.8
Ask Size,13400.0
B/A Ratio,0.16417910447761194
B/A Size,2200x13400
Beta,3.5
Bid,5.78
Bid Size,2200.0
Closing Price,5.78
Day Change $,0.27
Day Change %,0.049
Day High,5.79
Day Low,5.52
Dividend Pay Date,03/10/20
"EPS (TTM, GAAP)",0.32
Ex-dividend Date,02/18/20
Historical Volatility,0.895
Last (size),400.0
Last (time),6:30p ET 05/08/20
Market Cap,4.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.2
Prev Close,5.51
Shares Outstanding,790.4M
Short Interest,0.09
Today's Open,5.6
Volume,33772204.0
Volume 10-day Avg,42511445.0
Volume Past Day,(Light)
