,PSA
% Above Low,0.22510000000000002
% Held by Institutions,0.7859999999999999
52-Wk Range,['155.37 - 266.76']
Annual Dividend $,8.0
Annual Dividend %,0.0436
Ask,230.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.1
Bid,170.0
Bid Size,100.0
Closing Price,190.34
Day Change $,6.83
Day Change %,0.037200000000000004
Day High,191.65
Day Low,184.94
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",7.36
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.336
Last (size),24800.0
Last (time),6:30p ET 05/08/20
Market Cap,33.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.88
Prev Close,183.51
Shares Outstanding,174.8M
Short Interest,0.025
Today's Open,185.76
Volume,1126677.0
Volume 10-day Avg,1112941.0
Volume Past Day,(Average)
